GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
news-service,com.khaphp.newsservice.service,NewsServiceImpl,331,0,20,0,96,0,18,0,8,0
news-service,com.khaphp.newsservice.controller,NewsController,104,0,12,0,25,0,13,0,7,0
