GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.khaphp.notificationservice.service,NotificationServiceImpl,287,0,18,0,91,0,16,0,7,0
notification-service,com.khaphp.notificationservice.controller,NotificationController,104,0,12,0,25,0,13,0,7,0
